> QA_Iteration0-0| Output Layer: [0.41875106] | Score:[0.92428344] | Label: 0| Elapsed: 4.19
> QA_Iteration0-1| Output Layer: [-2.9403846] | Score:[0.0514964] | Label: 0| Elapsed: 2.90
> QA_Iteration0-2| Output Layer: [-20.867603] | Score:[8.655956e-10] | Label: 0| Elapsed: 2.93
> QA_Iteration0-3| Output Layer: [-59.97086] | Score:[9.015434e-27] | Label: 0| Elapsed: 2.96
> QA_Iteration0-4| Output Layer: [-129.98143] | Score:[129.98143] | Label: 1| Elapsed: 2.91
> QA_Iteration1-0| Output Layer: [-49.725796] | Score:[2.5372384e-22] | Label: 0| Elapsed: 3.41
> QA_Iteration1-1| Output Layer: [-20.209312] | Score:[1.6718879e-09] | Label: 0| Elapsed: 3.21
> QA_Iteration1-2| Output Layer: [-8.967473] | Score:[0.00012748] | Label: 0| Elapsed: 3.80
> QA_Iteration1-3| Output Layer: [-1.9744444] | Score:[0.13000882] | Label: 0| Elapsed: 3.05
> QA_Iteration1-4| Output Layer: [-1.1917785] | Score:[0.26519153] | Label: 0| Elapsed: 2.98
> QA_Iteration1-5| Output Layer: [-0.36229378] | Score:[0.5283184] | Label: 0| Elapsed: 2.95
> QA_Iteration2-0| Output Layer: [-0.980598] | Score:[0.31851682] | Label: 0| Elapsed: 2.89
> QA_Iteration2-1| Output Layer: [-0.8527269] | Score:[0.35504934] | Label: 0| Elapsed: 2.92
> QA_Iteration2-2| Output Layer: [-0.8241462] | Score:[0.3636769] | Label: 0| Elapsed: 2.96
> QA_Iteration2-3| Output Layer: [-0.8327949] | Score:[0.36104795] | Label: 0| Elapsed: 2.96
> QA_Iteration2-4| Output Layer: [-0.8636891] | Score:[0.3517857] | Label: 0| Elapsed: 2.89
> QA_Iteration2-5| Output Layer: [-0.91686946] | Score:[0.3363069] | Label: 0| Elapsed: 2.90
> QA_Iteration2-6| Output Layer: [-0.96404696] | Score:[0.32305872] | Label: 0| Elapsed: 2.89
> QA_Iteration3-0| Output Layer: [1.0640253] | Score:[1.360467] | Label: 0| Elapsed: 2.93
> QA_Iteration3-1| Output Layer: [-0.0161922] | Score:[0.68508387] | Label: 0| Elapsed: 2.95
> QA_Iteration3-2| Output Layer: [-0.09296525] | Score:[0.6477445] | Label: 0| Elapsed: 2.90
> QA_Iteration3-3| Output Layer: [0.7511811] | Score:[1.1376734] | Label: 0| Elapsed: 2.90
> QA_Iteration3-4| Output Layer: [-1.194793] | Score:[0.2644902] | Label: 0| Elapsed: 2.91
> QA_Iteration3-5| Output Layer: [0.41398633] | Score:[0.9214122] | Label: 0| Elapsed: 2.91
> QA_Iteration4-0| Output Layer: [-1.4485538] | Score:[0.21099791] | Label: 0| Elapsed: 2.92
> QA_Iteration4-1| Output Layer: [-0.59172153] | Score:[0.4404292] | Label: 0| Elapsed: 2.96
